Detector Part,Silicon Absorption Probability,Mount Absorption Probability,Average eta Phonon,Standard Deviation
Silicon,0.003,0.38,48.2327,1.8876
Capacitor,0.003,0.38,0.210544,0.377615
Feedline,0.003,0.38,1.35263,0.95665
Mount,0.003,0.38,9.20882,1.53762
Inductor,0.005,0.38,0.883387,0.929546
Silicon,0.005,0.38,52.6425,1.88814
Capacitor,0.005,0.38,0.201394,0.365528
Feedline,0.005,0.38,1.07442,0.848735
Mount,0.005,0.38,5.19652,1.36877
Inductor,0.007,0.38,0.893138,1.16652
Silicon,0.007,0.38,54.6847,1.64641
Capacitor,0.007,0.38,0.292656,0.441255
Feedline,0.007,0.38,0.98483,0.744877
Mount,0.007,0.38,3.14032,0.969947
Inductor,0.009,0.38,1.01053,0.87112
Silicon,0.009,0.38,55.8069,1.49403
Capacitor,0.009,0.38,0.30606,0.475685
Feedline,0.009,0.38,0.882957,0.848439
Mount,0.009,0.38,1.98963,0.910874
Inductor,0.011,0.38,0.805964,0.84335
Silicon,0.011,0.38,56.674,1.50817
Capacitor,0.011,0.38,0.183126,0.359152
Feedline,0.011,0.38,0.65679,0.74699
